Vecka,År,Region,Antal vaccinerade,Andel vaccinerade,Vaccinationsstatus,,,
04,2021,Jönköping,1418,0.004756,Färdigvaccinerade,,,
04,2021,Kronoberg,5349,0.032361,Minst 1 dos,,,
04,2021,Kronoberg,1140,0.006897,Färdigvaccinerade,,,
04,2021,Kalmar,11486,0.055953,Minst 1 dos,,,
04,2021,Kalmar,1778,0.008661,Färdigvaccinerade,,,
04,2021,Gotland,4122,0.081041,Minst 1 dos,,,
04,2021,Gotland,395,0.007766,Färdigvaccinerade,,,
04,2021,Blekinge,5565,0.042012,Minst 1 dos,,,
04,2021,Blekinge,1408,0.010629,Färdigvaccinerade,,,
04,2021,Skåne,39104,0.034404,Minst 1 dos,,,
04,2021,Skåne,1400,0.001232,Färdigvaccinerade,,,
04,2021,Halland,10585,0.038374,Minst 1 dos,,,
04,2021,Halland,316,0.001146,Färdigvaccinerade,,,
04,2021,Västra Götaland,48770,0.034138,Minst 1 dos,,,
04,2021,Västra Götaland,2234,0.001564,Färdigvaccinerade,,,
04,2021,Värmland,10053,0.042476,Minst 1 dos,,,
04,2021,Värmland,1055,0.004458,Färdigvaccinerade,,,
04,2021,Örebro,10903,0.043322,Minst 1 dos,,,
04,2021,Örebro,1936,0.007693,Färdigvaccinerade,,,
04,2021,Västmanland,10329,0.045228,Minst 1 dos,,,
04,2021,Västmanland,582,0.002548,Färdigvaccinerade,,,
04,2021,Dalarna,10461,0.043785,Minst 1 dos,,,
04,2021,Dalarna,2981,0.012477,Färdigvaccinerade,,,
04,2021,Gävleborg,9523,0.039710,Minst 1 dos,,,
04,2021,Gävleborg,1946,0.008115,Färdigvaccinerade,,,
04,2021,Västernorrland,8452,0.041413,Minst 1 dos,,,
04,2021,Västernorrland,1738,0.008516,Färdigvaccinerade,,,
04,2021,Jämtland,3920,0.035979,Minst 1 dos,,,
04,2021,Jämtland,953,0.008747,Färdigvaccinerade,,,
04,2021,Västerbotten,8052,0.035449,Minst 1 dos,,,
04,2021,Västerbotten,202,0.000889,Färdigvaccinerade,,,
04,2021,Norrbotten,9443,0.044726,Minst 1 dos,,,
04,2021,Norrbotten,1218,0.005769,Färdigvaccinerade,,,
05,2021,| Sverige |,344200,0.040297,Minst 1 dos,,,
05,2021,| Sverige |,93138,0.010904,Färdigvaccinerade,,,
05,2021,Stockholm,53177,0.027253,Minst 1 dos,,,
05,2021,Stockholm,17433,0.008934,Färdigvaccinerade,,,
05,2021,Uppsala,12773,0.039992,Minst 1 dos,,,
