Vecka,År,Region,Antal vaccinerade,Andel vaccinerade,Vaccinationsstatus,,,
04,2021,Västmanland,582,0.002548,Färdigvaccinerade,,,
04,2021,Dalarna,10462,0.043789,Minst 1 dos,,,
04,2021,Dalarna,2978,0.012464,Färdigvaccinerade,,,
04,2021,Gävleborg,9524,0.039714,Minst 1 dos,,,
04,2021,Gävleborg,1946,0.008115,Färdigvaccinerade,,,
04,2021,Västernorrland,8452,0.041413,Minst 1 dos,,,
04,2021,Västernorrland,1738,0.008516,Färdigvaccinerade,,,
04,2021,Jämtland,3919,0.035970,Minst 1 dos,,,
04,2021,Jämtland,953,0.008747,Färdigvaccinerade,,,
04,2021,Västerbotten,8053,0.035453,Minst 1 dos,,,
04,2021,Västerbotten,202,0.000889,Färdigvaccinerade,,,
04,2021,Norrbotten,9445,0.044736,Minst 1 dos,,,
04,2021,Norrbotten,1219,0.005774,Färdigvaccinerade,,,
05,2021,| Sverige |,344222,0.040300,Minst 1 dos,,,
05,2021,| Sverige |,93082,0.010898,Färdigvaccinerade,,,
05,2021,Stockholm,53186,0.027257,Minst 1 dos,,,
05,2021,Stockholm,17434,0.008935,Färdigvaccinerade,,,
05,2021,Uppsala,12771,0.039985,Minst 1 dos,,,
05,2021,Uppsala,3369,0.010548,Färdigvaccinerade,,,
05,2021,Södermanland,11940,0.048742,Minst 1 dos,,,
05,2021,Södermanland,5959,0.024326,Färdigvaccinerade,,,
05,2021,Östergötland,16908,0.043806,Minst 1 dos,,,
05,2021,Östergötland,6072,0.015731,Färdigvaccinerade,,,
05,2021,Jönköping,13590,0.045580,Minst 1 dos,,,
05,2021,Jönköping,6226,0.020882,Färdigvaccinerade,,,
05,2021,Kronoberg,6800,0.041140,Minst 1 dos,,,
05,2021,Kronoberg,2092,0.012656,Färdigvaccinerade,,,
05,2021,Kalmar,13610,0.066299,Minst 1 dos,,,
05,2021,Kalmar,1935,0.009426,Färdigvaccinerade,,,
05,2021,Gotland,4898,0.096298,Minst 1 dos,,,
05,2021,Gotland,1102,0.021666,Färdigvaccinerade,,,
05,2021,Blekinge,7041,0.053154,Minst 1 dos,,,
05,2021,Blekinge,2527,0.019077,Färdigvaccinerade,,,
05,2021,Skåne,45862,0.040350,Minst 1 dos,,,
05,2021,Skåne,8313,0.007314,Färdigvaccinerade,,,
05,2021,Halland,12874,0.046672,Minst 1 dos,,,
05,2021,Halland,2607,0.009451,Färdigvaccinerade,,,
05,2021,Västra Götaland,54107,0.037873,Minst 1 dos,,,
05,2021,Västra Götaland,7097,0.004968,Färdigvaccinerade,,,
05,2021,Värmland,12227,0.051662,Minst 1 dos,,,
05,2021,Värmland,2377,0.010043,Färdigvaccinerade,,,
05,2021,Örebro,12200,0.048476,Minst 1 dos,,,
05,2021,Örebro,3663,0.014555,Färdigvaccinerade,,,
05,2021,Västmanland,10798,0.047281,Minst 1 dos,,,
05,2021,Västmanland,5051,0.022117,Färdigvaccinerade,,,
05,2021,Dalarna,10537,0.044103,Minst 1 dos,,,
05,2021,Dalarna,3041,0.012728,Färdigvaccinerade,,,
05,2021,Gävleborg,12421,0.051795,Minst 1 dos,,,
05,2021,Gävleborg,4461,0.018602,Färdigvaccinerade,,,
05,2021,Västernorrland,9143,0.044799,Minst 1 dos,,,
05,2021,Västernorrland,3033,0.014861,Färdigvaccinerade,,,
05,2021,Jämtland,4012,0.036823,Minst 1 dos,,,
05,2021,Jämtland,2135,0.019596,Färdigvaccinerade,,,
05,2021,Västerbotten,9561,0.042092,Minst 1 dos,,,
05,2021,Västerbotten,1291,0.005684,Färdigvaccinerade,,,
05,2021,Norrbotten,9736,0.046114,Minst 1 dos,,,
05,2021,Norrbotten,3297,0.015616,Färdigvaccinerade,,,
06,2021,| Sverige |,390987,0.045775,Minst 1 dos,,,
06,2021,| Sverige |,163726,0.019168,Färdigvaccinerade,,,
06,2021,Stockholm,57926,0.029686,Minst 1 dos,,,
06,2021,Stockholm,27704,0.014198,Färdigvaccinerade,,,
06,2021,Uppsala,15050,0.047121,Minst 1 dos,,,
06,2021,Uppsala,5734,0.017953,Färdigvaccinerade,,,
06,2021,Södermanland,12845,0.052437,Minst 1 dos,,,
06,2021,Södermanland,9180,0.037475,Färdigvaccinerade,,,
06,2021,Östergötland,18764,0.048614,Minst 1 dos,,,
06,2021,Östergötland,9917,0.025693,Färdigvaccinerade,,,
